element,sp_num,obs_wl_air(nm),unc_obs_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Ho,1,"=""370.004""","=""""","=""410""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Ti,1,"=""370.0041""","=""0.0005""","=""13""","=""""",,"=""18192.570""","=""45211.603""","=""3d3.(2H).4s""","=""a 3H""","=""6""","=""3d3.(4F).5p""","=""3G*""","=""5""",,"=""""","=""L10989""",
Cr,1,"=""370.0088""","=""0.0010""","=""1""","=""""",,"=""35884.255""","=""62903.083""","=""3d5.(2H).4s""","=""b 3H""","=""5""","=""3d4.4s.4p""","=""r 3H*""","=""6""",,"=""""","=""L808""",
Tb,1,"=""370.012""","=""""","=""450""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
V,2,"=""370.01238""","=""0.00006""","=""2800""","=""1.25e+07""",B,"=""20089.6495""","=""47108.0794""","=""3d3.(4P).4s""","=""c 3P""","=""1""","=""3d3.(4P).4p""","=""z 3P*""","=""1""",,"=""T9616n""","=""L18516""",
Pt,2,"=""370.01460""","=""0.00018""","=""9w""","=""""",,"=""34647.266""","=""61665.5284""","=""5d7.6s2""","=""4F""","=""7/2""","=""5d8.(3F).6p""","=""(4,3/2)*""","=""7/2""",,"=""""","=""L10146""",
V,2,"=""370.0151""","=""0.0003""","=""1500""","=""""",,"=""54717.923""","=""81736.142""","=""3d3.(2D2).4p""","=""x 3P*""","=""1""","=""3d3.(4P).5s""","=""3P""","=""1""",,"=""""","=""L18516""",
Fe,3,"=""370.0152""","=""0.0012""","=""62""","=""""",,"=""117950.17""","=""144968.41""","=""3d5.(b 2G).4s""","=""1G""","=""4""","=""3d5.(b 2F).4p""","=""3F*""","=""4""",,"=""""","=""L1171""",
W,1,"=""370.0178""","=""""","=""4w""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
Ne,2,"=""370.0220""","=""0.0010""","=""120""","=""""",,"=""281720.2755""","=""308738.0108""","=""2s2.2p4.(3P).3d""","=""2P""","=""3/2""","=""2s2.2p4.(3P).5p""","=""2P*""","=""3/2""",,"=""""","=""L1406""",
Tm,2,"=""370.026""","=""""","=""4800""","=""2.23e+07""",,"=""236.95""","=""27254.42""","=""4f13.(2F*<7/2>).6s<1/2>""","=""(7/2,1/2)*""","=""3""","=""4f12.5d.6s""","=""""","=""4""",,"=""T6708""","=""L3475""",
Th,2,"=""370.03117""","=""0.00003""","=""240""","=""""",,"=""20989.80656""","=""48006.8651""","=""5f.(2F*).6d2.(1D)""","=""*""","=""9/2""","=""5f2.6d+5f.6d.7p""","=""""","=""9/2""",,"=""""","=""L5951""",
V,2,"=""370.03388""","=""0.00005""","=""12000""","=""1.66e+07""",B,"=""20280.2493""","=""47297.1150""","=""3d3.(2H).4s""","=""b 3H""","=""5""","=""3d3.(2G).4p""","=""z 3H*""","=""5""",,"=""T9770""","=""L18516""",
Cr,1,"=""370.0395""","=""0.0010""","=""2""","=""""",,"=""23933.8561""","=""50950.3326""","=""3d4.4s2""","=""a 3H""","=""4""","=""3d4.(3G).4s.4p.(3P*)""","=""w 3F*""","=""3""",,"=""""","=""L808""",
Th,2,"=""370.04603""","=""0.00005""","=""54""","=""""",,"=""19248.27026""","=""46264.2423""","=""5f.6d.(3D*).7s""","=""*""","=""5/2""","=""5f.6d.7p""","=""""","=""3/2""",,"=""""","=""L5951""",
Gd,3,"=""370.047""","=""""","=""250""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L7376""",
Mn,2,"=""370.0515""","=""0.0006""","=""30""","=""""",,"=""55697.014""","=""82712.57""","=""3d4.4s2""","=""c 5D""","=""4""","=""3d5.(4F).4p""","=""x 5D*""","=""3""",,"=""""","=""L562""",
Th,2,"=""370.05261""","=""0.00019""","=""26""","=""""",,"=""22106.43260""","=""49121.9347""","=""6d3""","=""2F""","=""5/2""","=""6d2.(1D).7p""","=""*""","=""7/2""",,"=""""","=""L2372""",
Cu,1,"=""370.0536""","=""0.0021""","=""250h""","=""""",,"=""44963.26""","=""71978.69""","=""3d9.(2D).4s.4p.(3P*)""","=""2F*""","=""7/2""","=""3d9.4s.(3D).4d""","=""4G""","=""9/2""",,"=""""","=""L772""",
