element,sp_num,obs_wl_air(nm),unc_obs_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Cr,1,"=""458.00477""","=""0.00005""","=""560""","=""2.4e+06""",B,"=""7593.1484""","=""29420.8645""","=""3d5.(6S).4s""","=""a 5S""","=""2""","=""3d4.(5D).4s.4p.(3P*)""","=""y 5P*""","=""1""",,"=""T4913""","=""L14866""",
La,2,"=""458.006""","=""""","=""200""","=""3.13e+07""",B+,"=""5718.12""","=""27545.85""","=""5d2""","=""a 3P""","=""1""","=""6s.6p""","=""y 3P*""","=""0""",,"=""T7455""","=""L3475""",
Sn,2,"=""458.022""","=""0.013""","=""140""","=""7.7e+06""",D+,"=""89294.055""","=""111120.8""","=""5s2.4f""","=""2F*""","=""5/2""","=""5s2.8g""","=""2G""","=""7/2""",,"=""T9352""","=""L3368""",
V,1,"=""458.03968""","=""0.00012""","=""4400000""","=""4.70e+06""",B+,"=""137.383""","=""21963.437""","=""3d3.4s2""","=""a 4F""","=""5/2""","=""3d3.(4F).4s.4p.(3P*)""","=""z 4G*""","=""7/2""",,"=""T9399""","=""L15916""",
Th,1,"=""458.04075""","=""0.00004""","=""76""","=""""",,"=""11601.03035""","=""33427.0409""","=""6d3.(4P).7s""","=""5P""","=""1""","=""""","=""*""","=""2""",,"=""""","=""L5951""",
Ne,2,"=""458.04180""","=""0.00014""","=""160""","=""""",,"=""281998.2635""","=""303824.2119""","=""2s2.2p4.(3P).4s""","=""4P""","=""5/2""","=""2s2.2p4.(3P<0>).4f""","=""2[3]*""","=""7/2""",,"=""""","=""L9088""",
Ti,2,"=""458.0435""","=""0.0004""","=""6""","=""1.3e+05""",D,"=""9930.7766""","=""31756.6406""","=""3d2.(3P).4s""","=""b 4P""","=""3/2""","=""3d2.(3F).4p""","=""z 2D*""","=""3/2""",,"=""T2403n""","=""u37""",
Fe,1,"=""458.0459""","=""0.0003""","=""30""","=""""",,"=""22838.323""","=""44664.075""","=""3d7.(4P).4s""","=""b 3P""","=""2""","=""3d6.(3F2).4s.4p.(3P*)""","=""v 5D*""","=""2""",,"=""""","=""L11631""",
Pt,1,"=""458.0537""","=""0.0006""","=""400bl""","=""""",,"=""13496.2595""","=""35321.6370""","=""5d9.6s""","=""b 1D""","=""2""","=""5d8.6s.(4F).6p""","=""a 5D*""","=""3""",,"=""""","=""L6581""",
Fe,1,"=""458.05771""","=""0.00017""","=""245""","=""4.0e+05""",D,"=""29469.024""","=""51294.220""","=""3d6.(5D).4s.4p.(3P*)""","=""z 5P*""","=""2""","=""3d6.(5D).4s (4D).5s""","=""e 3D""","=""3""",,"=""T2578n""","=""L11631""",
V,1,"=""458.0645""","=""0.0002""","=""47000""","=""""",,"=""26122.094&dagger;""","=""47946.974""","=""3d4.(5D).4p""","=""y 4F*""","=""7/2""","=""47946e""","=""4F""","=""9/2""",,"=""""","=""L15916""",
Pt,1,"=""458.06670""","=""0.00021""","=""67""","=""""",,"=""38815.8940""","=""60640.659""","=""5d8.6s.(2D).6p""","=""a 3F*""","=""2""","=""5d9.7s""","=""3D""","=""2""",,"=""""","=""L6581""",
Re,1,"=""458.068""","=""""","=""120""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Ta,1,"=""458.069""","=""""","=""28""","=""2.10e+05""",B,"=""9705.38""","=""31530.02""","=""5d3.6s2""","=""a 2G""","=""7/2""","=""""","=""315*""","=""9/2""",,"=""T4976""","=""L7606,L3475""",
Xe,2,"=""458.070""","=""""","=""80Hl""","=""""",,"=""132207.76""","=""154032.42""","=""5s2.5p4.(1D<2>).6p""","=""2[2]*""","=""5/2""","=""5s2.5p4.(1D<2>).6d""","=""2[2]""","=""5/2""",,"=""""","=""L6925""",
Th,2,"=""458.0758""","=""0.0003""","=""24""","=""""",,"=""15453.03596""","=""37277.3711""","=""5f.6d.(3D*).7s""","=""4D*""","=""7/2""","=""5f.6d.(3F*).7p""","=""""","=""7/2""",,"=""""","=""L2372""",
Th,1,"=""458.09810""","=""0.00021""","=""11""","=""""",,"=""18431.686609""","=""40254.9660""","=""5f.7s2.7p""","=""3G""","=""3""","=""""","=""*""","=""3""",,"=""""","=""L3552""",
Hf,1,"=""458.1030""","=""0.0007""","=""420""","=""""",,"=""21738.7225""","=""43561.796""","=""5d2.(a 3F).6s.(a 4F).6p""","=""z 5F*""","=""1""","=""6p2.(3P).5d.(2P).6s""","=""d 3P""","=""1""",,"=""""","=""L16323""",
Cr,1,"=""458.10362""","=""0.00011""","=""14""","=""""",,"=""24897.4635""","=""46720.4711""","=""3d5.(4G).4s""","=""a 3G""","=""4""","=""3d4.(3G).4s.4p.(3P*)""","=""w 5F*""","=""4""",,"=""""","=""L14866""",
Pm,1,"=""458.114""","=""""","=""300""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L4514c1""",
Th,1,"=""458.117315""","=""0.000017""","=""720""","=""""",,"=""10783.15535""","=""32605.50954""","=""6d.7s2.7p""","=""3F*""","=""2""","=""""","=""""","=""1""",,"=""""","=""L5951""",
Fe,1,"=""458.1191""","=""0.0003""","=""60""","=""""",,"=""37157.566""","=""58979.823""","=""3d6.(5D).4s.4p.(1P*)""","=""y 5P*""","=""2""","=""3d6.4s.(4D).4d""","=""3D""","=""2""",,"=""""","=""L11631""",
V,1,"=""458.122""","=""0.003""","=""59000bl""","=""1.53e+06""",B,"=""15103.784""","=""36925.893&dagger;""","=""3d3.4s2""","=""a 2H""","=""9/2""","=""3d4.(3F2).4p""","=""x 2F*""","=""7/2""",,"=""T9399""","=""L4235""",
Th,2,"=""458.12297""","=""0.00004""","=""69""","=""""",,"=""16906.59928""","=""38728.6822""","=""5f.(2F*).6d2.(3F)""","=""*""","=""7/2""","=""5f.6d.(1D*).7p""","=""""","=""5/2""",,"=""""","=""L5951""",
Fe,2,"=""458.1268""","=""0.0003""","=""80bl(Fe II)*""","=""""",,"=""50142.811""","=""71964.750""","=""3d6.(3F1).4s""","=""c 4F""","=""5/2""","=""3d6.(3D).4p""","=""w 4P*""","=""5/2""",,"=""""","=""L18349c148""",
Fe,2,"=""458.1268""","=""0.0003""","=""80bl(Fe II)*""","=""""",,"=""85184.773""","=""107006.684""","=""3d6.(5D).4d""","=""e 4G""","=""9/2""","=""3d5.(2I).4s.4p.(3P*)""","=""2H*""","=""9/2""",,"=""""","=""L18349c148""",
Gd,1,"=""458.129""","=""""","=""410""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Sr,4,"=""458.1322""","=""0.002""","=""30""","=""""",,"=""338581.20""","=""360403.00""","=""4s2.4p4.(3P<1>).5d""","=""2[2]""","=""5/2""","=""4s2.4p4.(3P<1>).6p""","=""2[1]*""","=""3/2""",,"=""""","=""L4311""",
Y,1,"=""458.1325""","=""""","=""35""","=""1.48e+07""",B+,"=""15326.741""","=""37148.377""","=""4d2.(3F).5s""","=""a 2F""","=""5/2""","=""4d2.(3P).5p""","=""y 4P*""","=""3/2""",,"=""T9421""","=""L7610,L3475""",
Ca,1,"=""458.140""","=""""","=""23""","=""2.09e+07""",C,"=""20349.260""","=""42170.558""","=""3p6.3d.4s""","=""3D""","=""2""","=""3p6.4s.4f""","=""3F*""","=""3""",,"=""T539n,LS""","=""L6097""",
Th,1,"=""458.14287""","=""0.00004""","=""79""","=""""",,"=""13962.51989""","=""35783.6541""","=""6d3.(2D2).7s""","=""""","=""1""","=""""","=""*""","=""0""",,"=""""","=""L5951""",
Ca,1,"=""458.147""","=""""","=""23""","=""3.5e+06""",D,"=""20349.260""","=""42170.214""","=""3p6.3d.4s""","=""3D""","=""2""","=""3p6.4s.4f""","=""3F*""","=""2""",,"=""T539n,T866,LS""","=""L6097""",
Fe,1,"=""458.1508""","=""0.0004""","=""1550bl""","=""5.9e+05""",D,"=""26140.179""","=""47960.940""","=""3d6.(5D).4s.4p.(3P*)""","=""z 5D*""","=""3""","=""3d7.(4F).5s""","=""e 3F""","=""4""",,"=""T2578n""","=""L11631""",
Sm,1,"=""458.158""","=""""","=""290""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Th,2,"=""458.15820""","=""0.00003""","=""130""","=""""",,"=""15242.89888""","=""37063.3065""","=""5f.(2F*).6d2.(3F)""","=""4H*""","=""9/2""","=""5f.6d.(3H*).7p""","=""""","=""9/2""",,"=""""","=""L5951""",
Co,1,"=""458.160""","=""""","=""190""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Nb,1,"=""458.162""","=""""","=""480""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
W,1,"=""458.1635""","=""""","=""3w""","=""""",,"=""28898.96""","=""50718.90""","=""5d4.6s2""","=""3P1""","=""2""","=""""","=""*""","=""2""",,"=""""","=""L153""",
Zn,1,"=""458.167""","=""0.004""","=""""","=""""",,"=""53672.2398""","=""75492.25""","=""3d10.4s.5s""","=""3S""","=""1""","=""3d10.4s.22p""","=""1P*""","=""1""",,"=""""","=""L13951""",
P,2,"=""458.171""","=""""","=""120""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3986""",
Ti,3,"=""458.1730""","=""""","=""8""","=""""",,"=""148111.10""","=""169930.80""","=""3p6.3d.5p""","=""3F*""","=""3""","=""3p6.3d.6s""","=""3D""","=""2""",,"=""""","=""L3593""",
Sm,1,"=""458.173""","=""""","=""440""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Y,1,"=""458.17711""","=""""","=""30""","=""8.7e+06""",B+,"=""15328.865""","=""37148.377""","=""4d2.(3P).5s""","=""a 4P""","=""3/2""","=""4d2.(3P).5p""","=""y 4P*""","=""3/2""",,"=""T9421""","=""L7610,L3475""",
