Intensity    Wavelength (Å)    Spectrum  Reference
  400          6000.120        Cu II     R69                 
    5          6001.862        Pb I      WA68                
  150          6001.901        Ce I      M75c                
  200   P      6004.52         Lu I      MCS75               
  500   P      6005.57         Sb II     C66b                
  150          6005.861        Ce I      BWCC91              
  400          6006.410        Al II     KM91b               
  150          6006.817        Ce I      BWCC91              
   70          6008.92         Xe II     H39                 
   10   c      6010.49         Cs I      K62b                
   10          6012.56         Eu I      MCS75               
  150          6013.22         C  I      J66                 
  200          6013.419        Ce I      BWCC91              
   40          6018.15         Eu I      MCS75               
  500   P      6021.041        Ge II     S63a                
   11          6021.787        Mn I      CMG64               
  110   P      6024.18         P  II     M59                 
  300          6024.193        Ce I      BWCC91              
  100          6024.271        Y  I      P77                 
    4          6026.04         Pt I      MCS75               
   15          6029.00         Eu I      MCS75               
  100   P      6029.9969       Ne I      SS04                
   40          6030.645        Mo I      WB88                
    2          6032.127        Ar I      N73                 
   80          6034.04         P  II     M59                 
    1          6034.09         Cs I      K62b                
  300   l      6035.78         Pa I      BW92b               
  300          6036.20         Xe II     H39                 
   40          6039.728        V  I      DA78                
  110   P      6043.12         P  II     M59                 
    1          6043.223        Ar I      N73                 
   30          6043.378        Ce II     C73                 
  100          6043.39         Pm I      RCWM80              
  100          6045.39         Ta I      MCS75               
  150          6047.397        Ce I      BWCC91              
   90          6049.26         Pr I      MCS75               
    7          6049.51         Eu II     MCS75               
  700   P      6051.15         Xe II     H39                 
 1000   P,l    6054.64         Am I      FT57                
   30          6054.674        Sn I      B64                 
   60          6055.03         Lu I      MCS75               
  400          6055.13         Pr I      MCS75               
 1000   P      6055.84         Se II     G62                 
   10          6056.1263       Kr I      K93                 
   13          6057.36         Eu I      MCS75               
   90          6057.995        Ce I      M75c                
 1000          6058.90         Cm I      WHGC76              
    1          6059.372        Ar I      N73                 
   50          6069.06         Pm I      RCWM80              
   40          6069.117        Sn I      B64                 
   90          6069.484        Ce I      M75c                
    1          6070.755        Rb I      B59                 
   90          6072.006        Ce I      BWCC91              
  400          6073.198        Al II     KM91b               
  100   P      6074.3377       Ne I      SS04                
  100   c      6074.98         I  II     MC60                
  200   P      6075.74         Pb II     WRSH74              
  200          6079.67         Sb II     C66b                
  110          6080.44         B  II     O70                 
  200   P      6081.409        Pb II     WRSH74              
   40          6081.440        V  I      DA78                
   20          6083.84         Eu I      MCS75               
   80          6085.23         Tc I      BMC67               
   70          6087.82         P  II     M59                 
  110   P      6090.208        V  I      DA78                
   90          6093.192        Ce I      M75c                
  200          6093.50         Xe II     H39                 
   14   c      6095.95         In II     PC38                
   30          6096.1631       Ne I      SS04                
  500   P      6097.59         Xe II     H39                 
  150          6099.142        Cd I      BA56                
   20          6099.35         Eu I      MCS75               
  300   P      6100.21         Pm I      RCWM80              
  130          6101.43         Xe II     H39                 
  500   P      6102.722        Ca I      R68                 
  300   P      6103.542        Li I      REB95               
  400*  P      6103.654        Li I      REB95               
  400*         6103.667        Li I      REB95               
   12   c      6108.66         In II     PC38                
  250          6110.783        Ba I      KL99                
   25          6111.650        V  I      DA78                
   90          6114.07         Gd I      MCS75               
   30          6114.923        Ar II     N73                 
   30          6115.08         Xe II     H39                 
   11          6118.78         Eu I      MCS75               
   50          6119.528        V  I      DA78                
  250          6120.27         K  II     D26                 
  100          6120.68         Tc I      BMC67               
  600   P      6122.219        Ca I      R68                 
  120          6123.673        Ce I      BWCC91              
  200   P      6127.457        Zr I      J98                 
  100   c      6127.49         I  II     MC60                
   10          6128.4499       Ne I      SS04                
  100          6128.61         Cs II     S81                 
   13   w      6128.7          In II     PC38                
   13   w      6129.4          In II     PC38                
  300   P      6130.00         Sb II     C66b                
  100          6130.80         Tc I      BMC67               
   20   w      6132.1          In II     PC38                
   25          6135.363        V  I      DA78                
  300   P      6141.713        Ba II     KL99                
  100   P      6143.0626       Ne I      SS04                
  130          6143.201        Zr I      J98                 
   15          6146.435        Hg II     SR01                
   30          6146.45         Xe II     H39                 
  150*         6148.23         Pr I      MCS75               
  150*         6148.24         Pr II     MCS75               
  500          6148.60         Br I      T63                 
  250   P,c    6149.475        Hg II     SR01                
   40          6149.604        Sn I      B64                 
  400          6150.384        Cu II     R69                 
  200   h      6151.76         Pm I      RCWM80              
  500          6154.222        Cu II     R69                 
    2          6154.225        Na I      R56                 
   20          6154.446        Sn I      B64                 
   40          6155.134        Si I      RA65                
  130          6155.98         O  I      M75b                
  150          6156.77         O  I      M75b                
  150          6158.18         O  I      M75b                
   50          6159.89         Pb II     S75                 
    3          6160.747        Na I      R56                 
  600   P      6162.172        Ca I      R68                 
  300          6162.56         Pa I      BW92b               
  100   P      6163.5939       Ne I      SS04                
  200   l      6164.75         Ac II     MFT57               
   70          6165.59         P  II     M59                 
   30   l      6167.83         Ac II     MFT57               
  500          6169.055        Ca I      R68                 
  600          6169.559        Ca I      R68                 
  100   P      6169.8221       Th I      PE83                
  500          6170.27         As II     LA71                
   50          6172.278        Ar II     N73                 
    6          6173.05         Eu II     MCS75               
   15          6178.30         Xe I      HM33                
   10          6178.76         Eu I      MCS75               
   12          6179.66         Xe I      HM33                
   15          6182.1460       Ne I      SS04                
   30          6182.42         Xe I      HM33                
   80          6182.6217       Th I      PE83                
  400   h      6183.42         Al II     KM91b               
