element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
S,2,"=""""","=""""","=""376.0024""","=""0.0004""","=""""","=""3.34e+03""",E',"=""114162.312""","=""140750.328""","=""3s2.3p2.(3P).3d""","=""4D""","=""1/2""","=""3s2.3p2.(1D).4p""","=""2D*""","=""3/2""",,"=""T3186c85""","=""""",
Ru,1,"=""376.003""","=""""","=""376.0015+""","=""""","=""370""","=""""",,"=""3105.49""","=""29693.57""","=""4d7.(a 4F).5s""","=""a 5F""","=""1""","=""4d7.(a 4F).5p""","=""z 5F*""","=""1""",,"=""""","=""L3475""",
Sm,2,"=""376.004""","=""""","=""""","=""""","=""350""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Fe,1,"=""376.00494""","=""0.00004""","=""376.00494""","=""0.00003""","=""117000""","=""4.47e+06""",B,"=""19390.168""","=""45978.008""","=""3d6.4s2""","=""a 3H""","=""6""","=""3d6.(3H).4s.4p.(3P*)""","=""z 3I*""","=""7""",,"=""T4187""","=""L11631""",
Pr,2,"=""376.008""","=""""","=""""","=""""","=""120""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
W,1,"=""376.0126""","=""""","=""376.0123""","=""0.0010""","=""200""","=""1.99e+06""",B,"=""3325.53""","=""29912.85""","=""5d4.6s2""","=""5D""","=""2""","=""5d4.6s.(6D).6p""","=""5D*""","=""3""",,"=""T4976""","=""L153""",
V,2,"=""376.02208""","=""0.00003""","=""376.022075""","=""0.000016""","=""9900""","=""4.8e+06""",B,"=""13608.9393""","=""40195.5675""","=""3d4""","=""b 3F2""","=""4""","=""3d3.(4F).4p""","=""z 3F*""","=""3""",,"=""T9616""","=""L18516""",
Th,2,"=""376.02723""","=""0.00004""","=""376.027211""","=""0.000009""","=""160""","=""""",,"=""0.00000""","=""26586.2651""","=""6d.7s2""","=""2D""","=""3/2""","=""5f.(2F*).6d2.(3P)""","=""*""","=""3/2""",,"=""""","=""L5951""",
Zr,3,"=""376.0278""","=""""","=""376.0283""","=""""","=""20""","=""2.84e+07""",,"=""120325.62""","=""146911.81""","=""4d.6p""","=""1F*""","=""3""","=""4d.(2D<3/2>).5g""","=""2[7/2]""","=""4""",,"=""T6869""","=""L9267""",
Cr,1,"=""376.028""","=""0.002""","=""376.02849""","=""0.00003""","=""3""","=""""",,"=""24303.9025""","=""50890.077""","=""3d5.(4D).4s""","=""b 5D""","=""3""","=""3d4.(3G).4s.4p.(3P*)""","=""w 3F*""","=""2""",,"=""""","=""L808""",
