element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Th,1,"=""429.00263""","=""0.00006""","=""429.002639""","=""0.000022""","=""20""","=""""",,"=""19588.36224""","=""42891.6858""","=""6d2.7s.7p""","=""5G*""","=""5""","=""""","=""""","=""4""",,"=""""","=""L5951""",
Er,3,"=""429.006""","=""""","=""""","=""""","=""40000""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L1925""",
Mn,1,"=""""","=""""","=""429.0066""","=""""","=""""","=""3.4e+06""",E,"=""37630.62""","=""60933.73""","=""3d6.(3G).4s""","=""b 4G""","=""9/2""","=""3d5.(2I).4s.4p.(3P*)""","=""x 4H*""","=""11/2""",,"=""T1117""","=""""",
Ca,3,"=""429.0069""","=""0.0018""","=""429.0071""","=""0.0013""","=""280""","=""2.6e+08""",B,"=""347758.22""","=""371061.30""","=""3s2.3p5.(2P*<3/2>).4f""","=""2[5/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).5g""","=""2[7/2]*""","=""3""",,"=""u33""","=""L1405""",
W,1,"=""429.0138""","=""""","=""429.0138""","=""0.0015""","=""10""","=""""",,"=""18280.48""","=""41583.20""","=""5d5.(6S).6s""","=""5S""","=""2""","=""""","=""*""","=""2""",,"=""""","=""L153""",
Ti,2,"=""429.02148""","=""0.00004""","=""429.02148""","=""0.00003""","=""499""","=""8.56e+06""",B+,"=""9395.8020""","=""32698.1022""","=""3d3""","=""a 4P""","=""3/2""","=""3d2.(3F).4p""","=""z 4D*""","=""5/2""",,"=""T7385""","=""u37""",
Th,1,"=""429.02839""","=""0.00006""","=""429.028395""","=""0.000017""","=""36""","=""""",,"=""21077.152101""","=""44379.0767""","=""6d2.7s.7p""","=""5F*""","=""5""","=""""","=""""","=""5""",,"=""""","=""L5951""",
V,1,"=""429.0373""","=""0.0006""","=""429.03770""","=""0.00004""","=""12000bl(Ne)""","=""""",,"=""20606.467""","=""43907.886""","=""3d3.(4F).4s.4p.(3P*)""","=""z 4D*""","=""1/2""","=""3d3.4s.(5F).4d""","=""4P""","=""1/2""",,"=""""","=""L15916""",
Ne,2,"=""429.0374""","=""0.0003""","=""429.0374""","=""0.0004""","=""180""","=""""",,"=""305364.004""","=""328665.44""","=""2s2.2p4.(1D).3d""","=""2G""","=""9/2""","=""2s2.2p4.(1D<2>).4f""","=""2[5]*""","=""11/2""",,"=""""","=""L1406""",
Fe,1,"=""429.03786""","=""0.00006""","=""429.03789""","=""0.00003""","=""1780""","=""6.29e+05""",C+,"=""24118.819""","=""47420.228""","=""3d6.4s2""","=""b 3G""","=""4""","=""3d6.(3G).4s.4p.(3P*)""","=""w 5G*""","=""5""",,"=""T5720""","=""L11631""",
Na,2,"=""429.038""","=""0.010""","=""""","=""""","=""60""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L914""",
Th,1,"=""429.039363""","=""0.000018""","=""429.039359""","=""0.000009""","=""390""","=""""",,"=""13847.77037""","=""37149.0995""","=""6d3.(4F).7s""","=""3F""","=""2""","=""""","=""*""","=""2""",,"=""""","=""L5951""",
W,1,"=""429.0530""","=""""","=""429.0548""","=""0.0015""","=""2""","=""""",,"=""33201.61""","=""56502.10""","=""5d5.(2G2).6s""","=""3G""","=""5""","=""""","=""*""","=""4""",,"=""""","=""L153,L416""",
Fe,2,"=""429.0595""","=""0.0003""","=""429.05965""","=""0.00003""","=""50""","=""""",,"=""79243.462""","=""102543.689""","=""3d6.(1D2).4p""","=""w 2P*""","=""3/2""","=""3d6.(5D).6s""","=""6D""","=""3/2""",,"=""""","=""L18349c139""",
Ne,2,"=""429.0602""","=""0.0003""","=""429.0603""","=""0.0004""","=""160""","=""""",,"=""305365.116""","=""328665.31""","=""2s2.2p4.(1D).3d""","=""2G""","=""7/2""","=""2s2.2p4.(1D<2>).4f""","=""2[5]*""","=""9/2""",,"=""""","=""L1406""",
Th,2,"=""429.0829""","=""0.0003""","=""429.082299""","=""0.000024""","=""8""","=""""",,"=""33384.4292""","=""56683.4265""","=""5f2.(3F).7s""","=""""","=""9/2""","=""5f2.7p? ""","=""*""","=""7/2""",,"=""""","=""L2372""",
Fe,2,"=""429.08643""","=""0.00005""","=""429.086338""","=""0.000024""","=""150bl(Fe I)""","=""""",,"=""84424.422""","=""107723.200""","=""3d6.(5D).4d""","=""6P""","=""3/2""","=""3d6.(5D).6p""","=""6F*""","=""1/2""",,"=""""","=""L18349c148""",
Fe,1,"=""429.08644""","=""0.00015""","=""429.08641""","=""0.00003""","=""269""","=""3.83e+05""",C+,"=""22838.323""","=""46137.097""","=""3d7.(4P).4s""","=""b 3P""","=""2""","=""3d7.(4P).4p""","=""w 5P*""","=""3""",,"=""T5720""","=""L11631""",
Pt,1,"=""429.08991""","=""0.00018""","=""429.09017""","=""0.00007""","=""460""","=""""",,"=""37342.089""","=""60640.659""","=""5d9.6p""","=""b 3P*""","=""2""","=""5d9.7s""","=""3D""","=""2""",,"=""""","=""L11529""",
Ti,1,"=""429.0929""","=""0.0002""","=""429.09289""","=""0.00009""","=""1900""","=""4.5e+07""",D,"=""6556.833""","=""29855.255""","=""3d3.(4F).4s""","=""a 5F""","=""1""","=""3d3.(4F).4p""","=""x 5D*""","=""1""",,"=""T2773n""","=""L10989""",
