element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Ta,1,"=""578.0017""","=""""","=""577.998+""","=""""","=""25""","=""""",,"=""20646.54""","=""37942.84""","=""5d4.(3H).6s""","=""a 4H""","=""7/2""","=""5d3.6s.(3H).6p""","=""z 4I*?""","=""9/2""",,"=""""","=""L7593,L3475""",
Fe,2,"=""578.01279""","=""0.00003""","=""578.01279""","=""0.00003""","=""1500""","=""4.4e+07""",B+,"=""86124.348""","=""103420.207""","=""3d6.(5D).4d""","=""e 4F""","=""9/2""","=""3d6.(5D<3>).4f""","=""2[6]*""","=""11/2""",,"=""T6892c83""","=""L18349c139""",
Mn,1,"=""578.019""","=""""","=""""","=""""","=""7""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Fe,1,"=""578.02825""","=""0.00010""","=""578.02829""","=""0.00005""","=""13""","=""""",,"=""34039.516""","=""51334.911""","=""3d7.(4F).4p""","=""y 5F*""","=""4""","=""3d6.(5D).4s (6D).4d""","=""e 7G""","=""4""",,"=""""","=""L11631""",
Fe,2,"=""578.03345""","=""0.00006""","=""578.03347""","=""0.00003""","=""270""","=""1.18e+07""",C+,"=""86416.370""","=""103711.610""","=""3d6.(5D).4d""","=""e 4F""","=""7/2""","=""3d6.(5D<2>).4f""","=""2[4]*""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
Nb,1,"=""578.034""","=""""","=""""","=""""","=""17""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Si,1,"=""578.0384""","=""""","=""578.0384""","=""""","=""70""","=""2.97e+05""",D,"=""39683.163""","=""56978.256""","=""3s2.3p.4s""","=""3P*""","=""0""","=""3s2.3p.5p""","=""3D""","=""1""",,"=""T2301""","=""L3521""",
Th,1,"=""578.0438""","=""0.0003""","=""578.043735""","=""0.000014""","=""20""","=""""",,"=""22399.39666""","=""39694.3296""","=""5f.6d2.7s""","=""3I*""","=""5""","=""5f.6d2.7p ""","=""5I""","=""5""",,"=""""","=""L3552""",
Xe,3,"=""578.051""","=""0.005""","=""578.052+""","=""""","=""2""","=""""",,"=""145300.13""","=""162594.81""","=""5s2.5p3.(2P*).5d""","=""3F*""","=""2""","=""5s2.5p3.(2D*).6p""","=""3F""","=""3""",,"=""""","=""L10579""",
U,1,"=""578.059""","=""""","=""""","=""""","=""70""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Fe,1,"=""578.05997""","=""0.00010""","=""578.05994""","=""0.00005""","=""112""","=""7.6e+04""",E,"=""26140.179""","=""43434.627""","=""3d6.(5D).4s.4p.(3P*)""","=""z 5D*""","=""3""","=""3d6.(5D).4s (6D).5s""","=""e 7D""","=""3""",,"=""T2578n""","=""L11631""",
C,1,"=""""","=""""","=""578.063""","=""0.005""","=""""","=""4.5e+04""",D,"=""71352.54344""","=""88646.9""","=""2s2.2p.3p""","=""3P""","=""0""","=""2s2.2p.(2P*<3/2>).7d""","=""2[1/2]*""","=""1""",,"=""T5520LS""","=""""",
I,1,"=""578.06452""","=""0.00017""","=""578.06481""","=""0.00005""","=""600""","=""""",,"=""56092.7112""","=""73387.0136""","=""5s2.5p4.(3P<2>).6s""","=""2[2]""","=""3/2""","=""5s2.5p4.(3P<1>).6p""","=""2[1]*""","=""1/2""",,"=""""","=""L20632,L13998""",
Ta,1,"=""578.0706""","=""""","=""578.069+""","=""""","=""90""","=""3.3e+05""",C+,"=""6068.91""","=""23363.09""","=""5d3.6s2""","=""a 4P""","=""3/2""","=""5d3.6s.(5F).6p""","=""z 4F*""","=""5/2""",,"=""T4976""","=""L7593,L3475""",
