C.D.S.  -  SIMBAD4 rel 1.8  -  2026.04.23CEST16:06:26

region(CIRCLE, vega, 30m) &  otype = '*' & V  > 0
-------------------------------------------------

Number of objects : 51

# ;            identifier             ;typ;       coord1 (ICRS,J2000/2000)        ; Mag U  ;  Mag B  ;  Mag V  ;  Mag R  ; Mag I  ;  spec. type   ;#bib;#not
--;-----------------------------------;---;---------------------------------------;--------;---------;---------;---------;--------;---------------;----;----
1 ;HD 171872                          ;*  ;18 35 21.5348595216 +38 53 41.402055264;     ~  ;6.99     ;6.96     ;     ~   ;     ~  ;A0V            ;  12;   0
2 ;BD+38 3233                         ;*  ;18 36 31.9132015080 +38 30 15.003805896;     ~  ;11.59    ;9.96     ;     ~   ;     ~  ;M2III          ;   4;   0
3 ;BD+38 3235                         ;*  ;18 36 40.5511277448 +38 41 28.830923304;     ~  ;11.15    ;10.06    ;     ~   ;     ~  ;K1III          ;  11;   0
4 ;UCAC2 45360740                     ;*  ;18 36 38.3298483864 +38 41 43.338389028;     ~  ;     ~   ;11.1     ;11.68    ;     ~  ;~              ;   1;   0
5 ;HD 172149                          ;*  ;18 36 48.6942906192 +38 31 15.009482280;     ~  ;8.41     ;8.01     ;     ~   ;     ~  ;F2V            ;  17;   0
6 ;2MASS J18370125+3848126            ;*  ;18 37 01.2678131808 +38 48 12.673392336;     ~  ;     ~   ;9.5      ;     ~   ;     ~  ;~              ;   0;   0
7 ;BD+38 3241                         ;*  ;18 38 00.5186758152 +38 45 47.661926184;     ~  ;11.00    ;10.60    ;     ~   ;     ~  ;K              ;   2;   0
8 ;GAT 1162                           ;PM*;18 36 38.1127012584 +38 53 29.147924076;     ~  ;11.34    ;10.72    ;     ~   ;     ~  ;G2V            ;   2;   0
9 ;TYC 3105-692-1                     ;*  ;18 37 00.4946775792 +38 52 17.304435228;     ~  ;10.85    ;9.62     ;     ~   ;     ~  ;K0III          ;  10;   0
10;TYC 3105-679-1                     ;*  ;18 37 26.2760735016 +38 52 09.833668284;     ~  ;10.93    ;10.17    ;     ~   ;     ~  ;G8V            ;   7;   0
11;TYC 3105-625-1                     ;*  ;18 38 21.5433444168 +38 49 32.903369616;     ~  ;11.50    ;10.22    ;     ~   ;     ~  ;K3III          ;   5;   0
12;TYC 3105-555-1                     ;*  ;18 34 48.6774968688 +39 01 47.181885852;     ~  ;11.57    ;10.39    ;     ~   ;     ~  ;~              ;   1;   0
13;TYC 3105-561-1                     ;*  ;18 34 48.0158370696 +38 32 40.134403284;     ~  ;11.22    ;10.15    ;     ~   ;     ~  ;~              ;   0;   0
14;TYC 3105-604-1                     ;*  ;18 36 04.2339965736 +38 41 10.245472008;     ~  ;11.31    ;10.68    ;     ~   ;     ~  ;~              ;   0;   0
15;TYC 3105-760-1                     ;*  ;18 38 24.4087726704 +38 55 24.998582964;     ~  ;11.25    ;10.70    ;     ~   ;     ~  ;~              ;   0;   0
16;IRAS 18330+3848                    ;*  ;18 34 46.3948661784 +38 50 31.992423180;     ~  ;11.30    ;9.78     ;     ~   ;     ~  ;~              ;   1;   0
17;TYC 3105-873-1                     ;*  ;18 38 41.0583768336 +38 55 08.237254620;     ~  ;11.45    ;10.30    ;     ~   ;     ~  ;~              ;   6;   0
18;TYC 3105-1020-1                    ;*  ;18 38 39.8260646904 +38 25 32.398246056;     ~  ;11.24    ;10.76    ;     ~   ;     ~  ;~              ;   0;   0
19;TYC 3105-1053-1                    ;*  ;18 37 28.6271027832 +38 24 25.025345568;     ~  ;11.29    ;10.57    ;     ~   ;     ~  ;~              ;   0;   0
20;TYC 3105-1193-1                    ;*  ;18 35 54.2651831760 +38 21 50.626240128;     ~  ;11.40    ;10.70    ;     ~   ;     ~  ;~              ;   0;   0
21;* alf Lyr                          ;dS*;18 36 56.33635 +38 47 01.2802          ;0.03    ;0.03     ;0.03     ;0.07     ;0.10    ;A0V            ;2787;   1
22;BD+38 3228                         ;SB*;18 35 17.5126328880 +39 03 16.192978992;     ~  ;10.96    ;9.76     ;     ~   ;     ~  ;K5             ;  11;   1
23;BD+38 3247                         ;*  ;18 38 59.3189388096 +39 01 31.519183692;     ~  ;10.96    ;10.63    ;     ~   ;     ~  ;A5             ;   2;   0
24;TYC 3105-152-1                     ;RG*;18 36 29.3352012840 +39 04 11.761349916;     ~  ;10.97    ;9.81     ;     ~   ;     ~  ;K1III          ;  17;   0
25;TYC 3105-209-1                     ;** ;18 35 53.0136263352 +39 10 41.737932156;     ~  ;11.50    ;11.11    ;     ~   ;     ~  ;~              ;   1;   0
26;TYC 3105-173-1                     ;*  ;18 35 22.5862567872 +39 04 29.341953912;     ~  ;13.21    ;11.91    ;     ~   ;     ~  ;~              ;   0;   0
27;TYC 3105-266-1                     ;*  ;18 35 16.9472502600 +39 05 29.860470312;     ~  ;14.30    ;12.07    ;     ~   ;     ~  ;~              ;   0;   0
28;TYC 3105-347-1                     ;*  ;18 36 38.2305526128 +39 06 52.183151892;     ~  ;13.03    ;12.13    ;     ~   ;     ~  ;~              ;   0;   0
29;TYC 3105-375-1                     ;SB*;18 36 55.0251286224 +39 11 24.230688396;     ~  ;12.18    ;11.63    ;     ~   ;     ~  ;~              ;   1;   0
30;ATO J279.2048+39.2406              ;LP*;18 36 49.1735436744 +39 14 26.378179116;     ~  ;12.88    ;12.43    ;     ~   ;     ~  ;~              ;   3;   0
31;TYC 3105-453-1                     ;*  ;18 35 21.1655168712 +39 10 38.143574940;     ~  ;12.82    ;12.07    ;     ~   ;     ~  ;~              ;   0;   0
32;ROTSE1 J183710.88+390757.8         ;*  ;18 37 13.1585473872 +39 07 42.122757108;     ~  ;12.81    ;11.63    ;     ~   ;     ~  ;~              ;   1;   1
33;TYC 3105-631-1                     ;*  ;18 35 58.4554007856 +38 40 46.548079608;     ~  ;12.35    ;11.43    ;     ~   ;     ~  ;~              ;   0;   0
34;TYC 3105-633-1                     ;*  ;18 38 23.0050241808 +38 55 58.902979116;     ~  ;12.07    ;12.01    ;     ~   ;     ~  ;~              ;   0;   0
35;TYC 3105-636-1                     ;*  ;18 38 26.8556828856 +38 59 45.408174864;     ~  ;12.25    ;11.31    ;     ~   ;     ~  ;~              ;   0;   0
36;TYC 3105-645-1                     ;SB*;18 38 17.7675932880 +38 56 34.812973032;     ~  ;11.87    ;11.56    ;     ~   ;     ~  ;~              ;   1;   0
37;TYC 3105-650-1                     ;*  ;18 35 58.2455940144 +38 50 54.758236236;     ~  ;12.32    ;11.32    ;     ~   ;     ~  ;~              ;   0;   0
38;TYC 3105-654-1                     ;*  ;18 37 56.3452216776 +38 57 38.414404872;     ~  ;12.37    ;12.66    ;     ~   ;     ~  ;~              ;   0;   0
39;TYC 3105-671-1                     ;*  ;18 35 46.5627180240 +38 52 23.314536192;     ~  ;12.95    ;11.55    ;     ~   ;     ~  ;~              ;   0;   0
40;TYC 3105-690-1                     ;*  ;18 39 20.8042263744 +38 54 10.921041684;     ~  ;11.92    ;11.66    ;     ~   ;     ~  ;~              ;   0;   0
41;TYC 3105-708-1                     ;*  ;18 37 30.4419015840 +38 38 33.882511560;     ~  ;12.25    ;11.97    ;     ~   ;     ~  ;~              ;   0;   0
42;TYC 3105-827-1                     ;*  ;18 35 16.0708355160 +38 49 30.477044856;     ~  ;11.36    ;10.62    ;     ~   ;     ~  ;~              ;   0;   0
43;TYC 3105-893-1                     ;*  ;18 38 23.7906003624 +38 57 54.218910348;     ~  ;11.91    ;11.18    ;     ~   ;     ~  ;~              ;   0;   0
44;TYC 3105-899-1                     ;SB*;18 35 23.1973892328 +38 57 32.937392988;     ~  ;12.05    ;11.58    ;     ~   ;     ~  ;~              ;   1;   0
45;TYC 3105-947-1                     ;SB*;18 38 51.6823963704 +38 42 03.837209364;     ~  ;12.29    ;11.32    ;     ~   ;     ~  ;~              ;   1;   0
46;TYC 3105-1004-1                    ;*  ;18 34 40.9078339920 +38 44 41.972693928;     ~  ;12.66    ;11.89    ;     ~   ;     ~  ;~              ;   0;   0
47;TYC 3105-1050-1                    ;*  ;18 36 55.8085152312 +38 24 24.216588216;     ~  ;12.62    ;12.71    ;     ~   ;     ~  ;~              ;   0;   0
48;TYC 3105-1100-1                    ;*  ;18 35 25.3210396944 +38 23 33.230247684;     ~  ;12.29    ;11.10    ;     ~   ;     ~  ;~              ;   0;   0
49;TYC 3105-1125-1                    ;*  ;18 38 24.2070729600 +38 26 47.866271496;     ~  ;12.63    ;12.16    ;     ~   ;     ~  ;~              ;   0;   0
50;TYC 3105-1169-1                    ;*  ;18 36 10.8679695696 +38 27 24.976799784;     ~  ;12.38    ;11.64    ;     ~   ;     ~  ;~              ;   0;   0
