C.D.S.  -  SIMBAD4 rel 1.8  -  2026.04.23CEST16:43:44

region(CIRCLE, vega, 5d) &  otype = '*' & V < 7
-----------------------------------------------

Number of objects : 42

# ;            identifier             ;typ;       coord1 (ICRS,J2000/2000)        ;       pm       ;   plx    ;  radvel  ;  redshift  ;    cz    ; Mag U  ; Mag B  ; Mag V  ; Mag R  ; Mag G  ; Mag I  ;  spec. type   
--;-----------------------------------;---;---------------------------------------;----------------;----------;----------;------------;----------;--------;--------;--------;--------;--------;--------;---------------
1 ;* kap Lyr                          ;*  ;18 19 51.7091048595 +36 03 52.370938421; -16.658 40.978 ;12.7646   ;-24.37    ;-0.000081   ;-24.37    ;6.70    ;5.51    ;4.34    ;3.48    ;3.997497;2.93    ;K2-IIIabCN0.5  
2 ;HD 171780                          ;Be*;18 35 13.5051822840 +34 27 28.868125500;    1.669 8.939 ;3.9902    ;-25.10    ;-0.000084   ;-25.10    ;5.44    ;5.975   ;6.088   ;     ~  ;6.045351;     ~  ;B5Ve           
3 ;HD 173087                          ;** ;18 42 08.0883472656 +34 44 46.751348076;  -1.880 -6.689 ;1.2987    ;-23.50    ;-0.000078   ;-23.50    ;     ~  ;6.346   ;6.473   ;     ~  ;6.471121;     ~  ;B5V            
4 ;HD 167370                          ;*  ;18 13 04.8190296720 +38 46 24.566041776;   -6.877 7.700 ;4.6207    ;-9.00     ;-0.000030   ;-9.00     ;5.78    ;5.966   ;6.033   ;     ~  ;6.028460;     ~  ;B9IIIn         
5 ;HD 169617                          ;*  ;18 23 44.0600843448 +38 20 42.412780752; -10.102 16.373 ;5.8797    ;-13.2     ;-0.000044   ;-13.20    ;     ~  ;6.90    ;6.91    ;     ~  ;6.917284;     ~  ;A0III          
6 ;HD 169646                          ;SB*;18 23 57.2820646944 +38 44 21.209262072;    7.089 9.347 ;3.8611    ;-47.93    ;-0.000160   ;-47.93    ;9.490   ;7.810   ;6.370   ;     ~  ;5.925939;     ~  ;K2             
7 ;HD 171384                          ;SB*;18 32 51.4988102760 +38 49 59.862911196;-16.305 -82.347 ;10.6688   ;2.55      ;0.000009    ;2.55      ;     ~  ;7.55    ;6.95    ;     ~  ;6.798999;     ~  ;F8             
8 ;HD 171872                          ;*  ;18 35 21.5348595216 +38 53 41.402055264;  -6.371 -2.469 ;6.2055    ;~         ;~           ;~         ;     ~  ;6.99    ;6.96    ;     ~  ;6.960095;     ~  ;A0V            
9 ;HD 172741                          ;** ;18 40 12.2008158960 +38 22 01.833952764;   17.412 6.262 ;6.9325    ;14.10     ;0.000047    ;14.10     ;     ~  ;6.711   ;6.489   ;     ~  ;6.467609;     ~  ;A6m            
10;HD 173525                          ;*  ;18 44 05.1451096776 +38 31 59.086340832;  -9.119 13.471 ;2.9594    ;-42.40    ;-0.000141   ;-42.40    ;     ~  ;8.18    ;6.56    ;     ~  ;5.792121;     ~  ;K5             
